PLAYER	YEAR	TOURNAMENT	TEAM	MATCHES	GOALS	PENALTIES	ASSISTS	YELLOW	RED	STARTS	SUB0IN	SUB0OUT
Emma Jansson	2017	Svenska Cupen omg. 1-3, damer	KIF Örebro DFF	1	1	0	0	0	0	1	0	1
Emma Jansson	2017	Svenska Cupen, Grupp 4	Hammarby IF FF	3	0	0	0	0	0	3	0	0
Emma Jansson	2016	Damallsvenskan	Eskilstuna United DFF	14	0	0	0	1	0	10	4	4
Emma Jansson	2016	Svenska Cupen, damer	KIF Örebro DFF	3	0	0	0	0	0	3	0	2
Emma Jansson	2016	Svenska Cupen, damer	Eskilstuna United DFF	2	0	0	0	0	0	2	0	1
Emma Jansson	2016	Svenska Cupen, damer	KIF Örebro DFF	1	0	0	0	0	0	1	0	1
Emma Jansson	2015	Damallsvenskan Hammarby IF DFF	18	4	0	1	2	0	14	4	5	
Emma Jansson	2015	Svenska Cupen, damer	Eskilstuna United DFF	3	5	1	0	0	0	2	1	0
Emma Jansson	2015	Svenska Cupen, damer	Hammarby IF DFF	1	5	1	0	0	0	1	0	0
Emma Jansson	2015	Svenska Cupen, damer	Eskilstuna United DFF	2	0	0	0	0	0	1	1	0
Emma Jansson	2014	Elitettan	Hammarby IF DFF	17	9	0	0	0	0	14	3	0
Emma Jansson	2014	Svenska Cupen, damer	Hammarby IF DFF	3	6	0	0	0	0	2	1	1
Emma Jansson	2013	Elitettan	Hammarby IF DFF	23	12	0	0	0	0	17	6	9
Emma Jansson	2013	Svenska Cupen, damer	Hammarby IF DFF	1	0	0	0	0	0	1	0	1
Emma Jansson	2012	Norrettan, damer	Hammarby IF DFF	9	3	0	0	0	0	6	3	3
Ellen Wangerheim	2020	Elitettan 2020	Hammarby	15	2	0	0	1	0	3	12	2
Ellen Wangerheim	2020	Svenska Cupen 2020/21 omg. 1-3	Hammarby	1	1	0	0	0	0	1	0	0
Elsa Karlsson	2020	Elitettan 2020	Hammarby	26	2	0	0	1	0	26	0	0
Elsa Karlsson	2019	Elitettan	IFK Kalmar	23	2	0	0	1	0	21	2	0
Elsa Karlsson	2019	Svenska Cupen 2019/20 omg. 1-3	IFK Kalmar	2	0	0	0	0	0	2	0	0
Elsa Karlsson	2018	Damallsvenskan	IFK Kalmar	22	1	0	3	1	0	22	0	0
Elsa Karlsson	2018	Svenska Cupen omg. 1-3, damer	IFK Kalmar	1	0	0	0	0	0	1	0	0
Elsa Karlsson	2018	Svenska Cupen, Grupp 2	IFK Kalmar	3	0	0	0	0	0	3	0	1
Elsa Karlsson	2017	Elitettan	IFK Kalmar	26	2	0	0	0	0	26	0	0
Elsa Karlsson	2017	Svenska Cupen omg. 1-3, damer	IFK Kalmar	2	0	0	0	0	0	2	0	0
Elsa Karlsson	2016	Elitettan	IFK Kalmar	26	2	0	0	2	0	26	0	0
